year,state_postcode,initiative,BOS_topic,BOS_summary,passed,notes
2005,CA,,BOR,abortion,0,"BOS 2006 text notes:California voters narrowly defeated
an initiative amendment that would have required
doctors to notify a parent or guardian 48 hours in
advance of performing an abortion on a minor."
2005,KS,,BOR,same-sex marriage ban,1,
2005,TX,,BOR,SSM,1,"BOS 2006 text notes:And
Texas voters approved an amendment permitting a
judge to deny bail to an accused felon who violates
the conditions of his release before trial."
2005,TX,,BOR,bail denial,1,"BOS 2006 text notes:And
Texas voters approved an amendment permitting a
judge to deny bail to an accused felon who violates
the conditions of his release before trial."
2005,CA,,SUFF/ELECT,redistricting,0,"BOS 2006 text notes:The California redistricting amendment was a centerpiece of Gov. Arnold Schwarzenegger’s reform
package and would have established a three-member
panel of retired federal or state judges. This panel
would have been charged with immediately drawing
up new congressional, state legislative and Board of
Equalization districting plans, which would then be
submitted to the voters, and, if approved, remain in
effect through the next census."
2005,OH,,SUFF/ELECT,redistricting,0,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
"
2005,OH,,SUFF/ELECT,election administration,0,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
"
2005,OH,,SUFF/ELECT,absentee ballots,0,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
"
2005,OH,,SUFF/ELECT,campaign finance,0,"BOS 2006 text notes:The Ohio redistricting amendment was one of
four electoral reform amendments supported by
Reform Ohio Now and easily defeated at the polls.
Another Ohio amendment would have taken election
oversight authority from the secretary of state and
vested the power in a newly created nine-member
board of elections.
The remaining amendments in
the defeated reform package would have permitted
voters to cast absentee ballots without providing a
reason and
various contribution limits in
state campaigns.
"
2005,NJ,,EXEC,lieutenant governor,1,"BOS 2006 text notes:decision of New Jersey
voters in November to approve an amendment creating
a lieutenant governor position."
2005,TX,,JUD,judicial conduct,1,"BOS 2006 text notes:Texas added another member of the
general public and a constitutional county court
judge,"
2005,WA,,JUD,judicial conduct,1,"BOS 2006 text notes:Washington made municipal court judges
eligible to hold a position previously reserved solely
for district court judges"
2005,TX,,LOCAL,officeholding,0,BOS 2006 text notes:terms for members of regional mobility authorities
2005,WI,,LOCAL,officeholding,1,BOS 2006 text notes:terms for county officials
2005,CA,,FIN,budget,0,"BOS 2006 text notes:an initiative amendment promoted
by Gov. Schwarzenegger that would have prevented
state spending from exceeding the average of the
previous three years’ tax revenues and would have
also empowered the governor to unilaterally reduce
spending in certain circumstances"
